Order Region,order_count,late_delivery_rate,shipping_delay_severity_days,demand_volatility_cv,data_coverage_gap,disruption_risk_score,risk_rank
Central Africa,1616,0.6015,0.967,0.752,1.0,91.9,1
South of  USA ,3855,0.5852,0.967,0.523,1.0,79.6,2
East Africa,1781,0.5817,0.929,0.748,1.0,78.0,3
Central Asia,542,0.5646,0.948,0.773,1.0,76.3,4
Western Europe,25867,0.5853,0.954,0.508,0.9,74.3,5
Eastern Europe,3785,0.5765,0.938,0.482,1.0,70.1,6
South America,14184,0.5718,0.926,0.539,1.0,67.9,7
North Africa,3086,0.571,0.915,0.6,1.0,67.4,8
West Asia,5746,0.5781,0.925,0.432,1.0,66.8,9
East of USA,6617,0.5817,0.928,0.342,1.0,66.0,10
Northern Europe,9408,0.5625,0.919,0.636,0.9,63.7,11
South Asia,7455,0.5835,0.952,0.87,0.089,63.1,12
US Center ,5653,0.5753,0.916,0.388,1.0,62.9,13
West of USA ,7595,0.5679,0.934,0.324,1.0,61.8,14
Southern Africa,1100,0.5609,0.862,0.854,1.0,61.6,15
Southern Europe,9030,0.568,0.886,0.664,0.9,60.3,16
Central America,27174,0.5711,0.922,0.222,1.0,57.7,17
Caribbean,7951,0.5553,0.904,0.483,1.0,56.6,18
Oceania,9733,0.5632,0.913,1.032,0.089,53.6,19
West Africa,3571,0.5469,0.892,0.544,1.0,53.3,20
Eastern Asia,6973,0.5672,0.939,0.802,0.078,52.8,21
Southeast Asia,9136,0.5798,0.927,0.715,0.089,52.7,22
Canada,907,0.516,0.839,0.691,1.0,37.2,23
