Order Region,total_profit,avg_profit_per_order,total_revenue,order_count,risk_score,profit_score_0to1,investment_score,investment_rank
Central America,586567.120784648,21.58560097095194,5432827.396678947,27174,60.5,0.9651066443062783,38.1,1
Western Europe,607319.630404211,23.47854913226161,5628938.550281097,25867,77.3,1.0,22.7,2
Southeast Asia,202242.879813827,22.136917667888245,1850920.755289511,9136,51.7,0.3189022725095898,15.4,3
Oceania,195381.260500927,20.0741046440899,1934643.608074504,9733,51.2,0.3073651173553896,15.0,4
South America,315501.98081047897,22.2435124654878,2812832.094852664,14184,71.5,0.5093365943856223,14.5,5
Southern Europe,221344.169912662,24.512089691324697,1956696.645322051,9030,61.6,0.3510192608568357,13.5,6
Northern Europe,226419.400521932,24.066687980647533,2072365.347120862,9408,66.5,0.35955277464015084,12.0,7
Caribbean,166981.690026283,21.001344488276064,1578670.270781383,7951,58.5,0.2596139618427806,10.8,8
Eastern Asia,141747.520632118,20.328054012923847,1428160.347106273,6973,52.9,0.21718512482751237,10.2,9
South Asia,158754.740118658,21.295069097070154,1498811.039075885,7455,62.3,0.24578113416729896,9.3,10
West of USA ,159186.830348406,20.95942466733456,1490407.859735344,7595,64.6,0.24650765247061615,8.7,11
East of USA,148772.65019571,22.483398850794924,1313179.385794682,6617,69.0,0.22899720679497798,7.1,12
US Center ,126356.859869918,22.35217758180046,1107813.812518053,5653,65.1,0.1913072040274854,6.7,13
West Asia,115462.139925189,20.094350839747477,1122755.802500464,5746,69.5,0.17298877675367996,5.3,14
West Africa,77124.680029007,21.597502108374965,702378.083611193,3571,55.7,0.10852801277503224,4.8,15
Eastern Europe,76854.7099496,20.30507528391017,747370.89451437,3785,73.4,0.10807408396448827,2.9,16
North Africa,59356.760056495,19.234206110335386,606910.452030531,3086,70.6,0.07865295848502019,2.3,17
South of  USA ,82370.99989381799,21.367315147553306,748217.15488266,3855,82.6,0.11734919674178095,2.0,18
East Africa,41892.289940583,23.52177986557159,363376.447286372,1781,80.7,0.049288126041698486,1.0,19
Canada,22535.94995876,24.84669234703418,176795.36339787,907,38.5,0.016742295764011907,1.0,20
Southern Africa,29238.340137412,26.58030921582909,217528.71431352,1100,63.0,0.028011722391880906,1.0,21
Central Africa,32429.409977888,20.067704194237624,315769.35614003,1616,96.0,0.03337720044867803,0.1,22
Central Asia,12578.6200606,23.2077860896679,107060.27217003,542,78.4,0.0,0.0,23
