item,historical_total_units,recent_window_avg_daily,data_coverage,forecast_total_units,forecast_avg_daily,growth_vs_recent_pct,status
Perfect Fitness Perfect Rip Deck,70575,0.0,sparse,0.4,0.03,,ok
Nike Men's Dri-FIT Victory Golf Polo,60232,0.0,sparse,2.4,0.17,,ok
O'Brien Men's Neoprene Life Vest,55333,0.0,sparse,1.1,0.08,,ok
Nike Men's Free 5.0+ Running Shoe,35079,0.0,sparse,3.3,0.23,,ok
Under Armour Girls' Toddler Spine Surge Runni,30380,0.0,sparse,0.3,0.02,,ok
Nike Men's CJ Elite 2 TD Football Cleat,21263,0.0,sparse,0.1,0.01,,ok
Field & Stream Sportsman 16 Gun Fire Safe,16595,0.0,sparse,0.6,0.04,,ok
Pelican Sunstream 100 Kayak,14840,0.0,sparse,0.8,0.05,,ok
Diamondback Women's Serene Classic Comfort Bi,13157,0.0,sparse,0.1,0.01,,ok
ENO Atlas Hammock Straps,965,0.0,sparse,0.0,0.0,,ok
Nike Men's Comfort 2 Slide,954,0.0,sparse,0.4,0.03,,ok
Team Golf St. Louis Cardinals Putter Grip,920,0.0,sparse,0.3,0.02,,ok
adidas Men's F10 Messi TRX FG Soccer Cleat,912,0.0,sparse,0.2,0.02,,ok
adidas Youth Germany Black/Red Away Match Soc,907,0.0,sparse,0.3,0.02,,ok
LIJA Women's Eyelet Sleeveless Golf Polo,903,0.0,sparse,0.6,0.04,,ok
